time,latitude,longitude,step,surface,valid_time,slhf,d2m,sp,str,lai_lv,t2m,u10,sshf,ssrd,lai_hv,v10,tp,e,strd,ssr,date,is_fire_day,railway_count,industrial_count,power_line_count
2006-01-01,59.5,-115.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-8102.0,263.0874,90211.75,-1234190.0,0.0,264.52368,-0.57526207,903190.0,0.0,1.1328125,1.5607452,0.000111460686,-5.410984e-07,10910459.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-115.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,29436.0,262.8667,90135.75,-1311957.0,0.0,264.2268,0.18157387,1002224.0,0.0,1.1269531,1.7160187,0.00012605637,1.3225712e-05,10743406.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-114.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,36538.0,263.27295,91534.75,-1482851.0,0.0,264.54907,0.4305973,1172032.0,0.0,1.1674805,1.7931671,0.00012449175,1.5525147e-05,10647156.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-114.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,55764.0,263.66357,95532.75,-1672179.0,0.0,264.99243,-0.124578476,1292428.0,0.0,1.1381836,1.8888702,0.00011791289,2.2619963e-05,10612734.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-113.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,178968.0,264.81006,95967.75,-1717693.0,0.0,265.88892,-0.5825863,1218424.0,0.0,1.0656738,1.9201202,0.00013057142,7.1153976e-05,10732353.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-113.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,71824.0,266.20654,96254.75,-1611885.0,0.0,267.1604,-0.8301449,1185602.0,0.0,1.0390625,1.869339,0.00016309321,3.008917e-05,10997003.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-112.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-2026.0,266.76123,96473.75,-1371229.0,0.0,267.6233,-0.90924644,1207102.0,0.0,1.1328125,1.7785187,0.00020229071,1.6540289e-06,11333932.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-112.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-123706.0,267.78076,97027.75,-1151782.0,0.0,268.66626,-0.9370785,1174750.0,0.0,1.0478516,1.8527374,0.00028146058,-4.364364e-05,11697924.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-111.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-204374.0,268.07568,97271.75,-913779.0,0.0,269.53735,-1.0532894,1059396.0,0.0,1.043335,1.9396515,0.00035927445,-7.210206e-05,12024711.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-111.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-242170.0,268.10107,96850.75,-711524.0,0.0,269.84204,-1.2593441,917160.0,0.0,1.0390625,2.0363312,0.00036708266,-8.543674e-05,12229961.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-110.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-220472.0,268.01318,96544.75,-597557.0,0.0,269.64868,-1.3159847,784628.0,0.0,1.0406494,1.9269562,0.00037882477,-7.77822e-05,12286157.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-110.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-235764.0,268.0327,96762.75,-642699.0,0.3605957,269.61743,-2.042059,837472.0,0.0,1.079956,2.425003,0.0004053414,-8.317735e-05,12234139.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-120.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,20994.0,262.76904,94621.75,-685655.0,0.0,263.719,-1.5640316,177028.0,0.0,1.1328125,0.12519836,6.792694e-05,9.206124e-06,10838378.0,0.0,2006-01-01,0,0,0,0
