time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-03-02,58.5,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100179.0,8.5830686e-07,253.39139,250.56647,-1.6092291,-0.96440125,2006-03-02,0
2006-03-02,58.5,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100370.0,8.5830686e-07,251.87772,249.25983,-1.1766119,-1.3931122,2006-03-02,0
2006-03-02,58.5,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100493.0,8.5830686e-07,251.13943,248.6524,-0.9363775,-1.609909,2006-03-02,0
2006-03-02,58.5,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100320.0,8.5830686e-07,251.37576,248.9942,-0.3875494,-1.44487,2006-03-02,0
2006-03-02,58.5,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100453.0,8.5830686e-07,253.0535,250.94342,0.06264591,-1.188034,2006-03-02,0
2006-03-02,58.5,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100817.0,8.73208e-07,256.47537,254.03326,-0.7801275,-1.2319794,2006-03-02,0
2006-03-02,58.5,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,101054.0,8.5830686e-07,256.25076,253.58795,-1.0262213,-1.3696747,2006-03-02,0
2006-03-02,58.5,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,101116.0,8.5830686e-07,256.0281,253.49615,-0.86508846,-1.4702606,2006-03-02,0
2006-03-02,58.5,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100306.0,8.5830686e-07,256.95584,254.26178,-0.7488775,-1.7095184,2006-03-02,0
2006-03-02,58.5,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100082.0,8.5830686e-07,256.50272,253.97076,-0.41196346,-1.6811981,2006-03-02,0
2006-03-02,58.0,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94495.0,8.5830686e-07,258.532,255.35162,1.6866693,-2.232956,2006-03-02,0
2006-03-02,58.0,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94123.0,8.881092e-07,256.6082,254.02545,1.7013178,-2.1089325,2006-03-02,0
2006-03-02,58.0,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94654.0,9.924173e-07,254.07889,251.8399,1.0470209,-1.8686981,2006-03-02,0
2006-03-02,58.0,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96833.0,8.5830686e-07,252.25272,249.8653,0.47866154,-1.7827606,2006-03-02,0
2006-03-02,58.0,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97919.0,8.5830686e-07,252.1531,249.76764,0.29018497,-1.8345184,2006-03-02,0
2006-03-02,58.0,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98618.0,8.5830686e-07,252.741,250.23053,-0.2391119,-1.8862762,2006-03-02,0
2006-03-02,58.0,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99132.0,8.5830686e-07,253.3992,250.92389,-0.36020565,-2.03862,2006-03-02,0
2006-03-02,58.0,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97943.0,8.5830686e-07,253.56717,251.00397,0.13686466,-2.014206,2006-03-02,0
2006-03-02,58.0,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97843.0,8.5830686e-07,252.88162,250.51178,1.1065912,-1.7124481,2006-03-02,0
2006-03-02,58.0,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99717.0,8.5830686e-07,251.90897,249.54303,1.2979975,-1.3774872,2006-03-02,0
2006-03-02,58.0,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99366.0,9.4771383e-07,250.90506,248.43951,0.26967716,-1.484909,2006-03-02,0
2006-03-02,58.0,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99560.0,8.73208e-07,250.22537,247.66803,0.18080997,-1.6138153,2006-03-02,0
2006-03-02,58.0,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99539.0,8.5830686e-07,250.59451,247.81842,1.3009272,-1.4507294,2006-03-02,0
2006-03-02,58.0,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98059.0,8.5830686e-07,251.09842,248.3653,1.2862787,-1.4243622,2006-03-02,0
2006-03-02,58.0,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95231.0,8.5830686e-07,251.35623,248.62897,1.4952631,-1.4360809,2006-03-02,0
2006-03-02,58.0,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94773.0,8.5830686e-07,250.28397,248.24225,1.7179193,-0.63041687,2006-03-02,0
2006-03-02,58.0,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97997.0,8.5830686e-07,251.60233,249.21295,0.5704584,1.4359894,2006-03-02,0
2006-03-02,58.0,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100591.0,8.5830686e-07,252.94217,250.64655,-0.7605963,1.2123566,2006-03-02,0
2006-03-02,58.0,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100084.0,8.5830686e-07,255.66483,253.47858,-1.1131353,-1.1089325,2006-03-02,0
2006-03-02,58.0,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99416.0,8.5830686e-07,256.51053,254.09772,-0.6873541,-1.6626434,2006-03-02,0
2006-03-02,58.0,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98503.0,1.1712312e-06,256.8035,254.55084,-0.39731503,-1.6333466,2006-03-02,0
2006-03-02,57.5,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,92324.0,8.5830686e-07,256.89334,254.3028,0.7110834,-2.1851044,2006-03-02,0
2006-03-02,57.5,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,92659.0,8.5830686e-07,255.1785,252.59967,0.098778725,-2.2075653,2006-03-02,0
2006-03-02,57.5,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94705.0,8.5830686e-07,253.87186,251.54108,0.52553654,-2.1001434,2006-03-02,0
2006-03-02,57.5,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,93106.0,8.5830686e-07,254.48123,252.36139,1.258935,-1.897995,2006-03-02,0
2006-03-02,57.5,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94215.0,8.5830686e-07,254.65506,252.3985,1.3780756,-1.3931122,2006-03-02,0
2006-03-02,57.5,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95422.0,9.924173e-07,254.31912,252.24615,0.19741154,-0.7983856,2006-03-02,0
2006-03-02,57.5,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98350.0,8.5830686e-07,254.32303,251.98248,-0.67758846,-0.87260437,2006-03-02,0
2006-03-02,57.5,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97333.0,8.5830686e-07,255.54764,253.11725,0.029442787,-2.1196747,2006-03-02,0
2006-03-02,57.5,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95150.0,8.881092e-07,254.10233,251.8692,0.106591225,-2.022995,2006-03-02,0
2006-03-02,57.5,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96610.0,3.5703183e-06,251.65506,249.40631,-0.91977596,-0.16459656,2006-03-02,0
2006-03-02,57.5,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97431.0,1.052022e-06,251.3035,248.8067,-0.08774471,-0.56889343,2006-03-02,0
2006-03-02,57.5,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96923.0,8.5830686e-07,252.49881,249.98248,1.1612787,-1.5561981,2006-03-02,0
2006-03-02,57.5,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95703.0,8.5830686e-07,253.55154,251.00592,1.3351068,-1.6333466,2006-03-02,0
2006-03-02,57.5,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94770.0,8.5830686e-07,252.91873,250.2403,1.1104975,-1.7534637,2006-03-02,0
2006-03-02,57.5,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93746.0,8.5830686e-07,252.98318,250.45514,0.2218256,-2.0815887,2006-03-02,0
