fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
59,2023/10/02 00:00:00,2023/10/02 22:18:32,2023/10/03 04:18:32,2023/10/02 21:18:32,52.4433,-110.3404,-23,1
60,2023/10/03 00:00:00,2023/10/03 02:48:34,2023/10/03 08:48:34,2023/10/03 01:48:34,52.7199,-110.0166,17,1
61,2023/10/03 00:00:00,2023/10/03 03:36:46,2023/10/03 09:36:46,2023/10/03 02:36:46,53.4387,-113.8462,14,1
62,2023/10/03 00:00:00,2023/10/03 06:38:43,2023/10/03 12:38:43,2023/10/03 05:38:43,53.0125,-110.0747,-92,1
63,2023/10/03 00:00:00,2023/10/03 19:05:05,2023/10/04 01:05:05,2023/10/03 18:05:05,58.2625,-110.195,34,1
64,2023/10/03 00:00:00,2023/10/03 22:42:09,2023/10/04 04:42:09,2023/10/03 21:42:09,58.4693,-119.1312,-12,0
65,2023/10/10 00:00:00,2023/10/10 16:28:59,2023/10/10 22:28:59,2023/10/10 15:28:59,52.8879,-117.1937,26,2
66,2023/10/10 00:00:00,2023/10/10 16:55:56,2023/10/10 22:55:56,2023/10/10 15:55:56,54.2452,-119.7855,15,0
67,2023/10/10 00:00:00,2023/10/10 17:02:55,2023/10/10 23:02:55,2023/10/10 16:02:55,53.2776,-117.3381,40,2
68,2023/10/10 00:00:00,2023/10/10 17:03:44,2023/10/10 23:03:44,2023/10/10 16:03:44,54.314,-119.2162,15,0
69,2023/10/10 00:00:00,2023/10/10 17:06:09,2023/10/10 23:06:09,2023/10/10 16:06:09,54.2283,-119.8618,-15,1
70,2023/10/10 00:00:00,2023/10/10 17:14:12,2023/10/10 23:14:12,2023/10/10 16:14:12,54.3099,-119.8076,17,0
71,2023/10/10 00:00:00,2023/10/10 18:02:39,2023/10/11 00:02:39,2023/10/10 17:02:39,54.3853,-120,31,1
72,2023/10/10 00:00:00,2023/10/10 18:43:02,2023/10/11 00:43:02,2023/10/10 17:43:02,54.4999,-119.693,27,1
73,2023/10/10 00:00:00,2023/10/10 18:51:13,2023/10/11 00:51:13,2023/10/10 17:51:13,54.6127,-119.6806,21,1
74,2023/10/10 00:00:00,2023/10/10 18:53:21,2023/10/11 00:53:21,2023/10/10 17:53:21,54.6224,-119.6782,37,1
75,2023/10/10 00:00:00,2023/10/10 18:57:02,2023/10/11 00:57:02,2023/10/10 17:57:02,54.6223,-119.6852,-22,1
76,2023/10/10 00:00:00,2023/10/10 18:59:12,2023/10/11 00:59:12,2023/10/10 17:59:12,54.6236,-119.6751,12,0
77,2023/10/10 00:00:00,2023/10/10 19:10:04,2023/10/11 01:10:04,2023/10/10 18:10:04,54.636,-119.708,-32,1
78,2023/10/10 00:00:00,2023/10/10 19:10:04,2023/10/11 01:10:04,2023/10/10 18:10:04,54.5381,-119.6582,-8,1
79,2023/10/10 00:00:00,2023/10/10 19:11:19,2023/10/11 01:11:19,2023/10/10 18:11:19,54.6808,-119.7743,25,0
80,2023/10/10 00:00:00,2023/10/10 19:11:19,2023/10/11 01:11:19,2023/10/10 18:11:19,54.0032,-119.8702,19,0
