fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
89,2023/04/17 00:00:00,2023/04/17 17:13:35,2023/04/17 23:13:35,2023/04/17 16:13:35,53.0075,-112.1552,-16,1
90,2023/04/17 00:00:00,2023/04/17 17:16:20,2023/04/17 23:16:20,2023/04/17 16:16:20,53.4269,-112.6656,-18,1
91,2023/04/17 00:00:00,2023/04/17 17:16:29,2023/04/17 23:16:29,2023/04/17 16:16:29,53.0245,-112.2694,44,1
92,2023/04/17 00:00:00,2023/04/17 17:18:44,2023/04/17 23:18:44,2023/04/17 16:18:44,53.0388,-112.1995,-13,0
93,2023/04/17 00:00:00,2023/04/17 17:19:28,2023/04/17 23:19:28,2023/04/17 16:19:28,53.5972,-111.3686,-30,0
94,2023/04/17 00:00:00,2023/04/17 17:23:08,2023/04/17 23:23:08,2023/04/17 16:23:08,53.1149,-112.1134,35,1
95,2023/04/17 00:00:00,2023/04/17 17:23:37,2023/04/17 23:23:37,2023/04/17 16:23:37,53.2989,-112.524,-90,1
96,2023/04/17 00:00:00,2023/04/17 17:23:37,2023/04/17 23:23:37,2023/04/17 16:23:37,53.3862,-112.7532,51,1
97,2023/04/17 00:00:00,2023/04/17 17:23:37,2023/04/17 23:23:37,2023/04/17 16:23:37,53.4818,-112.5711,-16,1
98,2023/04/17 00:00:00,2023/04/17 17:24:26,2023/04/17 23:24:26,2023/04/17 16:24:26,53.4009,-112.3751,-15,1
99,2023/04/17 00:00:00,2023/04/17 17:25:14,2023/04/17 23:25:14,2023/04/17 16:25:14,54.2619,-111.3889,77,1
100,2023/04/17 00:00:00,2023/04/17 17:27:15,2023/04/17 23:27:15,2023/04/17 16:27:15,53.0728,-112.2772,172,1
101,2023/04/17 00:00:00,2023/04/17 17:28:16,2023/04/17 23:28:16,2023/04/17 16:28:16,53.4037,-112.3369,56,1
102,2023/04/17 00:00:00,2023/04/17 17:29:33,2023/04/17 23:29:33,2023/04/17 16:29:33,53.3829,-112.3544,38,1
103,2023/04/17 00:00:00,2023/04/17 17:34:58,2023/04/17 23:34:58,2023/04/17 16:34:58,53.1809,-112.0927,-13,1
104,2023/04/17 00:00:00,2023/04/17 17:38:18,2023/04/17 23:38:18,2023/04/17 16:38:18,53.1876,-111.9994,89,1
105,2023/04/17 00:00:00,2023/04/17 17:39:53,2023/04/17 23:39:53,2023/04/17 16:39:53,53.2203,-111.8074,-25,1
106,2023/04/17 00:00:00,2023/04/17 17:41:14,2023/04/17 23:41:14,2023/04/17 16:41:14,52.9174,-112.2921,24,1
107,2023/04/17 00:00:00,2023/04/17 17:41:14,2023/04/17 23:41:14,2023/04/17 16:41:14,53.2016,-111.9323,72,1
108,2023/04/17 00:00:00,2023/04/17 17:50:49,2023/04/17 23:50:49,2023/04/17 16:50:49,53.5091,-112.5239,-91,2
109,2023/04/17 00:00:00,2023/04/17 17:54:20,2023/04/17 23:54:20,2023/04/17 16:54:20,53.5068,-112.4017,-21,1
110,2023/04/17 00:00:00,2023/04/17 17:54:21,2023/04/17 23:54:21,2023/04/17 16:54:21,53.4308,-112.6157,-49,5
111,2023/04/17 00:00:00,2023/04/17 17:54:21,2023/04/17 23:54:21,2023/04/17 16:54:21,53.4196,-112.4533,-38,1
112,2023/04/17 00:00:00,2023/04/17 17:54:22,2023/04/17 23:54:22,2023/04/17 16:54:22,53.5068,-112.8119,-39,1
113,2023/04/17 00:00:00,2023/04/17 17:57:03,2023/04/17 23:57:03,2023/04/17 16:57:03,53.5396,-112.4237,-41,1
114,2023/04/17 00:00:00,2023/04/17 17:57:03,2023/04/17 23:57:03,2023/04/17 16:57:03,53.4517,-112.3078,-28,1
115,2023/04/17 00:00:00,2023/04/17 18:01:01,2023/04/18 00:01:01,2023/04/17 17:01:01,53.4184,-112.4641,-38,1
116,2023/04/17 00:00:00,2023/04/17 18:04:05,2023/04/18 00:04:05,2023/04/17 17:04:05,53.5564,-112.4486,32,1
117,2023/04/17 00:00:00,2023/04/17 18:04:06,2023/04/18 00:04:06,2023/04/17 17:04:06,53.5828,-112.6848,-72,1
118,2023/04/17 00:00:00,2023/04/17 18:04:14,2023/04/18 00:04:14,2023/04/17 17:04:14,53.3507,-111.8083,24,1
119,2023/04/17 00:00:00,2023/04/17 18:07:12,2023/04/18 00:07:12,2023/04/17 17:07:12,53.8703,-111.743,172,2
120,2023/04/17 00:00:00,2023/04/17 18:07:38,2023/04/18 00:07:38,2023/04/17 17:07:38,53.3334,-111.8252,-22,1
